run,type,time,cluster,distance.mean,distance.sd,distance.q0,distance.q1,distance.q2,distance.q3,distance.q4,count
0,bskm,6.141000,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,bskm,6.141000,7,1.605954,1.131471,0.352919,0.648599,1.172177,2.359193,5.641150,3897
0,bskm,6.141000,8,22.063674,14.303113,4.342135,6.984362,22.275704,35.346025,42.065360,13
0,bskm,6.141000,9,2.404665,1.540857,0.634947,1.168128,1.925697,3.390510,6.251026,2933
0,bskm,6.141000,10,24.102037,12.317900,4.123992,16.580121,21.276569,36.490886,44.355758,24
0,bskm,6.141000,11,4.634696,2.361299,1.182380,2.800224,4.315827,6.084204,10.388921,360
0,bskm,6.141000,12,31.228336,11.770915,12.815008,19.579754,37.026893,38.753414,51.610985,9
0,bskm,6.141000,13,3.292682,1.515658,0.936340,1.986072,3.164065,4.622436,6.489966,673
0,bskm,6.141000,14,15.843868,1.513019,13.709633,15.280917,15.838654,16.401606,17.988533,4
0,bskm,6.141000,15,9.232797,5.735642,1.831608,5.288829,8.180746,11.892063,24.315505,132
0,bskm,6.141000,16,1.645699,0.742921,0.560743,0.943106,1.521772,2.167464,3.256371,3580
0,bskm,6.141000,17,0.690025,0.179522,0.389852,0.531105,0.644870,0.796189,1.161530,1658
0,bskm,6.141000,18,15.553436,9.256296,2.874175,7.821589,13.828114,22.354990,33.832111,42
0,bskm,6.141000,19,5.393180,3.403108,1.467581,2.459193,4.181285,8.134477,12.538820,91
1,km,126.484000,0,3.641320,2.152778,1.037676,1.967545,3.156458,4.701698,9.137459,644
1,km,126.484000,1,0.923671,0.520900,0.248892,0.482546,0.858653,1.229294,3.333529,2147
1,km,126.484000,2,0.837179,0.257763,0.418257,0.601624,0.806074,1.049895,1.394413,2353
1,km,126.484000,3,54.509787,36.814329,5.630353,22.893856,47.930173,84.752750,132.308419,45
1,km,126.484000,4,107.074199,78.205377,14.506424,47.831486,90.131194,146.234024,353.719716,19
1,km,126.484000,5,0.833724,0.103820,0.599498,0.752239,0.823104,0.908770,1.116527,786
1,km,126.484000,6,0.818436,0.105926,0.600453,0.736075,0.808198,0.895172,1.272467,874
1,km,126.484000,7,0.886559,0.119404,0.613762,0.796129,0.873876,0.974065,1.184505,711
1,km,126.484000,8,7.110377,4.688586,1.114445,3.187671,6.183290,9.667553,18.890693,431
1,km,126.484000,9,2.202629,0.966263,0.870026,1.361101,1.976403,2.800722,4.583906,721
1,km,126.484000,10,1.219029,0.292948,0.723881,0.970133,1.173021,1.426292,1.999329,682
1,km,126.484000,11,0.806024,0.158591,0.512238,0.673834,0.765719,0.928926,1.212746,1457
1,km,126.484000,12,14.506329,10.587949,1.606593,6.139587,12.422287,17.848111,44.550424,232
1,km,126.484000,13,0.827618,0.210274,0.476486,0.641383,0.787483,1.000008,1.318947,1889
1,km,126.484000,14,32.410932,24.249081,2.678294,14.611257,28.387122,41.671914,101.073661,110
1,km,126.484000,15,1.525625,0.521770,0.764788,1.059773,1.429893,1.847946,2.950482,678
1,km,126.484000,16,1.054908,0.198354,0.607224,0.885273,1.003309,1.184718,1.616594,692
1,km,126.484000,17,0.799585,0.121688,0.536171,0.690055,0.779450,0.886762,1.086400,1093
1,km,126.484000,18,0.952164,0.150906,0.657629,0.834137,0.929094,1.054248,1.361528,664
1,km,126.484000,19,0.850683,0.316163,0.360965,0.552958,0.817999,1.119628,1.517518,2600
1,bkm,54.320000,0,1.467969,0.624185,0.518110,0.876909,1.420360,1.988390,2.839007,3895
1,bkm,54.320000,1,31.228336,11.770915,12.815008,19.579754,37.026893,38.753414,51.610985,9
